Sample File,C:\Users\fvanden\Documents\AIMdata\SMPS - Copy\2800720.2.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001651003   ,Classifier Firmware Version,2.10
Neutralizer Model,3088,Neutralizer S/N,3088011703001
Impactor (cm),0.0508,Impactor S/N,5080134
DMA Model,3081,DMA S/N,3081A1651001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3775 Low Flow,Detector S/N,3775141101, 
Detector Sample Flow (L/min),0.30,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm), 13.6, 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,224.7,232.9,241.4,250.3,259.5,269.0,278.8,289.0,299.6,310.6,322.0,333.8,346.0,358.7,371.8,385.4,399.5,414.2,429.4,445.1,461.4,478.3,495.8,514.0,532.8,552.3,572.5,593.5,615.3,637.8,661.2,685.4,710.5,736.5,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
1,28/7/2020,12:24:13,26.3,100.5,35.9,6.87975e-008,1.84816e-005,,3360.818,3552.283,3047.230,2810.496,3376.942,3206.324,3201.983,2607.633,2341.188,2891.419,3151.709,2345.301,2321.738,2616.338,2603.440,2636.747,2058.285,2336.909,2025.932,2468.507,2322.991,2328.342,2285.206,2587.924,2498.013,2385.682,2261.257,2658.505,2138.569,2395.337,2712.985,2660.814,2170.595,2266.155,2594.914,2080.315,1646.909,1841.075,1702.407,1541.548,1533.890,1339.953,1548.306,1509.849,1266.451,1442.686,1349.681,1406.944,1566.432,1441.304,1796.332,1837.167,1814.680,1502.007,1669.524,1676.880,1747.216,1879.064,1841.129,1673.723,1819.038,1753.874,1552.329,1544.695,1544.392,1623.584,1316.731,1237.677,1013.507,1206.287,936.431,825.247,857.248,588.791,605.478,497.071,439.753,287.760,241.937,280.730,332.552,223.730,151.254,216.288,205.501,65.153,118.419,26.709,94.900,27.390,69.542,42.386,14.356,14.592,14.752,15.001,15.259,31.051,31.603,0.000,0.000,0.000,16.906,0.000,0.000,0.000,18.179,0.000,18.824,0.000,19.517,0.000,300,6,50,1,3.000,0.341,0.00,10.04,9671.84, 13.3,749.9,1.000,2.79,7.43,759.4,ON,38.146,59.000,42.448,14.075,2.206,2.403756e+003,,MASIN,,,,,Normal Scan,
2,28/7/2020,12:30:12,26.2,100.5,35.8,6.87683e-008,1.84769e-005,,889.175,1435.528,1723.223,2303.070,2885.836,3847.506,3681.426,3784.562,5224.085,3931.910,4921.423,4779.752,5516.677,5192.928,4999.817,4702.026,4066.857,3733.284,3441.019,2949.728,3290.143,2856.454,2436.857,3038.294,2521.520,2368.638,2622.485,2107.686,2818.206,2593.560,2644.355,2579.068,2772.117,2598.151,2353.625,2182.472,1906.834,1817.415,1686.345,1718.089,1464.338,1533.737,1426.580,1413.990,1070.701,1187.849,1343.832,1314.989,1253.310,1219.578,1407.540,1437.748,1583.366,1424.425,1740.871,1534.813,1898.372,2027.522,1853.125,1916.184,1906.419,1506.664,1658.813,1740.537,1470.181,1754.220,1496.516,1099.807,1030.175,1009.616,845.782,922.016,737.302,600.065,578.904,378.328,460.404,264.009,422.130,352.915,375.956,289.799,201.066,177.591,153.666,129.921,104.947,159.779,81.100,40.962,13.867,70.433,71.569,29.096,58.833,44.869,15.213,15.479,15.755,48.121,32.472,33.080,33.712,17.184,17.525,0.000,0.000,18.505,0.000,0.000,19.459,0.000,300,6,50,1,3.000,0.342,0.00,10.04,9670.29, 13.3,749.9,1.000,2.79,7.43,758.1,ON,32.597,55.450,39.829,20.908,2.149,2.741871e+003,,MASIN,,,,,Normal Scan,
3,28/7/2020,12:36:12,26.2,100.5,35.8,6.87683e-008,1.84769e-005,,391.641,1041.995,1158.803,1573.753,2166.962,2430.760,2655.611,2665.814,2671.115,4135.785,3221.184,2908.059,2925.641,3067.371,2508.271,3039.850,2043.721,2837.308,2704.415,2660.787,2437.859,2310.055,2609.052,2165.837,2114.845,2520.095,2188.248,2869.638,2484.804,2565.846,2239.591,2337.153,2578.007,2531.576,2281.438,2092.788,2395.203,1445.318,1471.013,1518.378,1437.931,1214.478,1196.155,1191.424,1260.983,940.374,1136.846,1117.709,1032.463,1157.347,1108.388,1235.337,1576.266,1195.096,1175.306,1547.716,1438.497,1985.184,1573.928,1245.658,1356.315,1447.809,1375.648,1355.400,1254.930,1109.233,1121.708,1044.317,988.417,855.573,774.154,756.109,698.514,573.078,561.483,390.124,366.592,298.861,422.137,267.725,208.755,173.497,100.536,139.538,102.442,155.902,78.710,53.258,27.033,27.308,0.000,14.087,14.314,14.548,0.000,5.084,10.042,0.000,0.000,0.000,0.000,0.000,0.000,14.647,2.587,17.760,0.000,0.000,0.000,0.000,0.000,0.000,300,6,50,1,3.000,0.342,0.00,10.04,9670.05, 13.3,749.9,1.000,2.79,7.43,758.1,ON,37.025,57.056,42.289,18.769,2.102,2.154857e+003,,MASIN,,,,,Normal Scan,
4,28/7/2020,12:42:12,26.2,100.5,35.9,6.87683e-008,1.84769e-005,,435.157,708.581,1438.532,2243.496,3392.458,4095.884,4362.940,4541.126,5930.908,5294.139,5591.542,6319.998,5574.293,5596.553,5486.904,5213.485,4279.016,3874.847,3679.009,3576.231,3468.888,2699.682,3360.981,2662.729,2476.344,2601.565,2126.788,2095.087,1955.750,2450.918,2483.365,2464.803,2294.152,2422.719,2312.730,1949.666,2371.873,1960.566,1742.686,1550.010,1204.957,1551.809,1262.560,1335.429,1157.773,1131.084,1073.905,1154.485,1098.919,1213.841,1297.689,1059.657,1351.074,1218.569,1201.739,1301.195,1409.060,1184.678,1536.319,1621.342,1275.947,1385.848,1319.738,1387.666,1279.364,1290.425,1178.115,851.119,988.417,777.566,799.952,690.099,669.861,687.380,412.353,598.726,437.439,299.880,229.153,206.878,122.797,235.459,126.760,189.171,64.026,25.984,104.947,53.258,27.033,54.616,13.867,14.087,14.314,29.096,14.708,14.956,15.213,30.958,0.000,0.000,16.236,0.000,16.856,17.184,17.525,17.759,0.000,0.000,0.000,0.000,0.000,19.899,300,6,50,1,3.000,0.342,0.00,10.04,9670.05, 13.3,749.9,1.000,2.79,7.43,758.1,ON,28.829,49.718,36.464,20.169,2.067,2.694924e+003,,MASIN,,,,,Normal Scan,
5,28/7/2020,12:48:12,26.2,100.5,35.8,6.87683e-008,1.84769e-005,,396.289,750.236,1438.507,2034.375,2669.062,4009.537,4446.152,5973.546,6247.477,6910.055,6510.060,6398.778,6912.691,7211.592,6287.926,6025.677,5141.821,4660.671,4424.044,3954.915,3309.389,3115.753,2662.149,2798.629,2548.626,2423.919,2795.565,2416.826,2240.349,2315.065,2150.703,2595.408,2341.909,2402.748,2507.753,2008.208,2672.908,2171.410,1951.951,2074.266,1766.649,1580.076,1581.603,1355.487,1508.864,1401.326,1415.781,1203.237,1011.839,1116.374,1204.482,1339.724,1116.809,1244.959,1541.532,1496.635,1285.148,1512.831,1547.395,1608.894,1492.168,1339.770,1105.297,1308.444,1109.524,1131.936,1154.357,924.134,1268.777,924.014,652.903,703.462,587.174,605.825,654.980,508.116,496.946,394.499,262.465,234.119,208.760,223.064,138.233,164.905,102.445,181.887,65.592,79.886,40.550,13.654,27.734,14.087,14.314,14.548,0.000,0.000,0.000,0.000,31.510,0.000,0.000,16.540,0.000,0.000,17.525,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,6,50,1,3.000,0.342,0.00,10.04,9670.05, 13.3,749.9,1.000,2.79,7.43,758.1,ON,27.867,48.526,35.895,21.674,2.042,2.936886e+003,,MASIN,,,,,Normal Scan,
6,28/7/2020,12:54:12,26.2,100.5,35.8,6.87683e-008,1.84769e-005,,304.610,708.558,1167.360,2601.940,3461.938,3994.235,5323.873,6692.525,6924.304,7963.484,8202.922,8630.360,8202.998,8664.685,9082.321,8249.801,7996.954,6887.759,6289.983,6304.559,4659.687,3852.749,3649.225,3196.470,2406.999,2198.722,2310.360,2005.759,2287.726,2286.479,2375.428,2111.441,2157.754,2517.593,2041.785,2121.935,2248.257,2291.060,2185.216,1872.930,1596.046,1806.015,1361.709,1554.246,1483.564,1276.827,1530.777,1217.077,1422.657,1210.656,1458.570,1384.447,1448.652,1595.895,1792.491,1696.820,1726.941,1584.768,1497.619,1638.880,1451.938,1499.920,1341.642,1164.526,1174.022,1188.678,928.012,1045.424,995.899,825.240,723.579,630.644,575.200,444.934,491.294,342.934,520.653,239.085,265.340,340.739,135.077,123.923,163.370,88.794,140.859,64.959,39.355,13.314,27.033,13.654,27.734,14.087,14.314,43.646,0.000,0.000,15.214,30.958,31.509,0.000,0.000,16.540,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,6,50,1,3.000,0.342,0.00,10.04,9670.05, 13.3,749.9,1.000,2.79,7.43,758.1,ON,25.917,44.898,33.820,22.468,1.978,3.373616e+003,,MASIN,,,,,Normal Scan,
7,28/7/2020,13:00:12,26.2,100.5,35.7,6.87683e-008,1.84769e-005,,348.125,541.841,1278.708,2205.122,2536.267,3479.620,5273.429,6335.870,7974.533,9190.959,10307.935,10307.277,11037.815,10124.554,12145.644,10320.325,10146.053,9532.388,7870.713,7703.115,5997.091,5676.869,4796.144,3752.729,3519.298,3038.358,2956.872,2690.972,2380.434,2320.560,2468.275,2153.769,2176.879,2162.508,1926.267,2207.621,2116.476,1860.791,2072.060,1719.757,1593.527,1765.678,1536.744,1475.679,1567.395,1481.276,1322.157,1117.211,1496.946,1283.778,1323.418,1708.844,1401.255,1723.652,1625.890,2087.635,1873.545,1652.155,1842.053,1701.044,1767.454,1666.126,1540.880,1465.162,1377.778,1403.857,1438.423,1188.103,992.333,924.966,846.705,634.452,644.890,652.426,561.396,342.179,436.441,324.797,192.976,143.088,221.643,151.092,150.802,164.905,102.442,90.944,144.305,66.575,54.067,54.616,41.600,42.260,14.314,0.000,14.708,14.956,30.426,15.479,47.264,16.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,6,50,1,3.000,0.342,0.00,10.04,9670.05, 13.3,749.9,1.000,2.79,7.43,758.1,ON,25.608,44.127,33.329,22.468,1.954,3.878387e+003,,MASIN,,,,,Normal Scan,
8,28/7/2020,13:06:12,25.9,100.5,35.6,6.86809e-008,1.84626e-005,,411.293,689.574,838.997,1688.639,2737.411,3886.357,4426.616,5982.007,6829.799,8672.164,9572.045,11146.403,12243.263,12194.968,11784.690,13124.546,10841.268,9642.297,9826.620,8097.121,8129.509,6313.562,4918.593,4456.252,3149.219,3208.747,2808.058,2661.082,2676.525,2727.983,2763.072,2590.079,2394.123,2679.602,2380.597,2322.213,2174.802,2595.983,2181.251,2212.297,1743.671,1833.979,1906.481,1608.282,1633.116,1584.400,1404.285,1230.250,1454.978,1315.551,1259.851,1279.958,1322.581,1309.266,1379.206,1413.455,1545.513,1589.825,1563.775,1510.275,1672.494,1551.713,1698.976,1566.624,1410.622,1165.742,957.400,1180.139,891.900,895.974,749.520,827.995,649.372,789.274,502.912,412.919,272.506,406.401,277.352,328.520,196.451,123.906,188.477,152.194,38.410,85.642,44.690,39.937,27.029,40.955,41.594,14.084,42.934,0.000,14.706,14.954,0.000,30.953,15.752,0.000,0.000,0.000,16.853,0.000,17.522,0.000,0.000,18.503,0.000,0.000,0.000,0.000,300,6,50,1,3.000,0.342,0.00,10.05,9664.66, 13.3,749.9,1.000,2.79,7.43,757.9,ON,25.763,42.806,32.864,23.291,1.905,4.050660e+003,,MASIN,,,,,Normal Scan,
9,28/7/2020,13:12:12,25.9,100.5,35.4,6.86809e-008,1.84626e-005,,411.293,772.919,1238.529,1995.663,3107.315,4100.319,4460.942,6736.644,7701.853,9843.972,10107.338,12083.222,12188.971,12374.646,13119.049,11536.927,10570.112,9946.579,9389.609,8102.866,6062.291,5087.012,4099.441,3495.488,3003.589,2319.839,2606.164,2170.476,2178.838,2077.957,2347.349,1991.097,2325.659,1983.648,2575.742,1820.252,2183.191,1728.862,1935.537,1712.815,1466.127,1260.547,1348.285,1295.717,1033.442,1177.900,935.874,1166.703,1143.274,1020.035,1155.014,1160.913,1121.115,1121.363,1239.545,1401.829,1476.296,1423.023,1476.836,1409.933,1114.416,1540.418,1404.280,1283.789,1134.312,943.972,934.763,1129.240,819.521,843.613,731.723,742.981,621.977,517.715,503.865,512.578,255.355,334.674,313.534,206.844,233.279,173.465,175.908,152.193,64.016,51.960,52.465,53.249,27.029,13.652,83.188,0.000,0.000,14.546,14.706,0.000,0.000,15.477,15.752,0.000,0.000,16.536,0.000,17.181,0.000,0.000,0.000,0.000,18.765,0.000,0.000,0.000,300,6,50,1,3.000,0.342,0.00,10.05,9664.66, 13.3,749.9,1.000,2.79,7.43,757.9,ON,24.619,40.967,31.343,22.468,1.895,3.834543e+003,,MASIN,,,,,Normal Scan,
10,28/7/2020,13:18:12,26.0,100.5,35.4,6.87100e-008,1.84674e-005,,439.765,416.756,1038.846,1957.421,2071.619,4088.247,4842.446,7446.692,8365.871,8488.315,11983.332,13086.746,14348.655,13959.592,14397.494,15767.192,14541.484,13559.098,11190.429,10915.797,8868.397,7535.815,6120.811,5408.179,4141.715,3474.273,3223.991,2446.013,2445.265,2172.735,2200.473,2048.761,2062.032,2071.932,2300.921,2115.083,2208.089,1884.116,1458.221,1973.662,1303.505,1121.053,1382.099,1138.922,1113.349,987.580,856.121,819.221,894.862,855.383,913.097,845.238,1102.063,1129.155,1389.342,1519.921,1420.398,1477.631,1536.992,1545.956,1298.743,1381.139,1246.549,1573.902,1030.775,1248.170,854.895,1092.129,999.275,951.630,864.667,748.777,646.713,673.019,388.539,377.545,296.211,382.506,265.310,292.040,135.064,148.695,100.523,139.521,64.022,77.942,65.585,39.939,40.545,0.000,0.000,0.000,14.312,0.000,29.413,14.955,0.000,0.000,0.000,16.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38.913,0.000,300,6,50,1,3.000,0.342,0.00,10.05,9666.45, 13.3,749.9,1.000,2.79,7.43,758.0,ON,24.768,39.038,30.544,23.291,1.827,4.374315e+003,,MASIN,,,,,Normal Scan,
11,28/7/2020,13:24:12,26.1,100.5,35.4,6.87392e-008,1.84721e-005,,348.938,626.870,1082.138,2386.779,2226.227,4077.027,4730.484,5421.081,7429.726,9070.525,10483.624,11035.753,10841.390,12040.029,12218.419,13040.712,12107.955,11155.075,9702.513,9163.260,8244.533,6820.993,5652.402,4761.267,3902.460,2780.004,2677.352,2397.504,2388.078,2131.227,1919.326,2000.326,2059.200,1985.670,2069.848,2098.100,1694.678,1961.320,1768.828,1546.866,1640.652,1555.297,1331.615,1411.908,1571.544,1172.757,1243.069,1500.142,1410.150,1349.846,1437.271,1313.781,1246.590,1332.104,1237.379,1336.403,1566.257,1527.235,1570.714,1613.940,1511.267,1416.251,1346.135,1586.990,1345.210,1166.838,1043.232,964.241,924.980,1084.977,820.837,707.580,667.844,572.429,469.271,426.010,428.610,215.013,181.433,207.474,135.469,62.141,126.033,127.215,128.422,26.059,74.719,44.340,67.778,82.161,13.907,18.059,24.715,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,6,50,1,3.000,0.341,0.00,10.04,9668.25, 13.3,749.9,1.000,2.79,7.43,759.3,ON,25.317,41.374,31.968,23.291,1.884,4.006794e+003,,MASIN,,,,,Normal Scan,
12,28/7/2020,13:30:12,26.1,100.5,35.2,6.87392e-008,1.84721e-005,,323.738,815.222,1198.721,1688.817,2441.707,3538.539,5199.490,6244.788,8250.292,10812.621,13104.366,14124.669,16284.626,18170.545,19143.105,19141.942,19423.094,19250.086,18168.470,16047.326,14371.977,12322.897,11113.253,9234.731,7261.498,6133.139,5520.321,4098.331,3371.123,3343.323,2604.017,2118.135,2460.385,2364.775,2407.992,2313.772,2320.334,1819.993,1696.250,1614.860,2031.975,1764.826,1581.470,1510.999,1361.483,1383.314,1375.469,1356.088,1344.316,1333.108,1261.573,1464.393,1491.483,1505.946,1337.610,1454.117,1835.796,1806.886,1674.620,2084.637,1569.321,1545.372,1422.936,1332.628,1005.785,1097.769,1231.724,1022.649,904.759,782.483,661.583,816.590,773.781,624.843,542.239,483.756,260.678,298.844,229.142,158.191,171.907,111.525,125.661,101.473,76.827,90.938,13.118,39.941,0.000,13.653,13.866,42.256,0.000,14.547,14.707,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.524,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,6,50,1,3.000,0.342,0.00,10.04,9668.50, 13.3,749.9,1.000,2.79,7.43,758.0,ON,25.542,37.399,30.355,24.144,1.743,5.631819e+003,,MASIN,,,,,Normal Scan,
13,28/7/2020,13:36:12,26.1,100.5,35.0,6.87392e-008,1.84721e-005,,435.135,745.540,1203.179,2244.374,2831.165,4559.022,5676.197,6999.942,8745.534,11269.073,12717.911,14311.166,15948.224,18196.771,19676.859,20186.892,19634.100,20093.307,17638.745,16445.816,14400.569,12954.743,11239.141,9627.217,7016.666,5683.409,4729.595,3428.559,3443.286,3042.854,2818.726,2595.314,2517.014,2392.702,2250.244,2585.122,2233.502,2033.514,1871.238,1997.130,1968.403,1887.696,1813.956,1472.964,1534.429,1563.328,1369.864,1424.757,1444.928,1343.840,1341.933,1440.605,1493.214,1634.420,1584.225,2030.386,1966.116,2194.789,1582.336,1541.823,1661.607,1564.630,1595.568,1438.079,1396.437,1393.664,911.274,880.539,815.548,1014.718,764.671,770.588,704.489,733.824,631.649,554.549,556.906,346.655,456.766,244.912,208.744,260.228,87.962,106.750,173.938,77.947,52.471,53.255,108.127,54.613,27.732,14.086,14.313,0.000,0.000,14.956,0.000,15.478,15.754,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,6,50,1,3.000,0.342,0.00,10.04,9668.25, 13.3,749.9,1.000,2.79,7.43,758.0,ON,25.483,38.227,30.591,23.291,1.774,5.793390e+003,,MASIN,,,,,Normal Scan,
14,28/7/2020,13:42:12,26.1,100.5,34.9,6.87392e-008,1.84721e-005,,304.594,625.169,1158.759,1842.360,2996.718,3801.883,4860.117,6610.924,7973.787,10117.868,11897.912,14439.962,14680.447,16191.103,16106.462,17079.194,17189.115,14700.494,15018.972,13004.134,11762.656,9695.448,8234.888,6479.869,4973.676,4196.162,3528.273,2954.300,2487.748,2140.803,2113.290,1965.453,2227.006,2117.319,2024.254,1878.798,1910.405,1660.976,1568.922,1264.035,1250.668,1119.949,1016.508,1001.648,1082.313,991.822,1008.273,1033.217,1152.981,1059.820,1038.732,1244.715,1445.828,1338.851,1951.278,1985.648,1749.208,1832.235,1763.741,1583.799,1831.074,1739.372,1669.859,1273.206,1437.786,1326.094,1116.372,1127.118,1065.876,834.747,778.869,690.080,635.197,605.715,596.540,401.167,391.025,239.072,253.269,241.731,112.173,161.092,62.832,114.158,38.414,90.938,26.235,13.314,40.547,109.226,97.065,42.258,0.000,29.095,0.000,14.956,0.000,0.000,0.000,0.000,16.235,0.000,0.000,17.183,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,6,50,1,3.000,0.342,0.00,10.04,9668.25, 13.3,749.9,1.000,2.79,7.43,758.0,ON,25.074,38.903,30.604,24.144,1.815,4.869928e+003,,MASIN,,,,,Normal Scan,
15,28/7/2020,13:48:12,26.1,100.6,34.7,6.86708e-008,1.84721e-005,,304.563,666.773,1358.378,1977.764,2249.918,4825.803,3927.746,7016.380,8706.775,9704.936,11881.019,13627.941,13892.370,14838.906,15486.171,16840.417,15438.135,14455.318,12663.291,11270.814,9352.835,8298.380,6782.279,5446.572,4661.050,3484.396,2954.279,2517.387,2007.483,1645.790,1762.229,1975.123,1918.123,1870.099,1809.063,1643.446,1351.629,1909.697,1649.127,1715.333,1150.912,1578.562,1647.754,1335.179,1321.188,1784.421,1412.502,1535.719,1368.077,1483.598,1371.248,1268.048,1772.051,1974.323,2012.036,2212.595,2368.933,2472.389,2253.547,2462.596,1982.518,1711.329,1783.707,1125.818,1318.600,1315.912,1169.979,1035.029,854.530,850.965,1000.842,739.617,666.094,523.719,713.814,601.465,308.245,301.286,262.793,267.682,259.634,208.819,138.212,88.780,115.229,116.905,76.394,82.209,27.028,54.606,43.539,26.192,42.933,14.546,29.411,0.000,15.210,0.000,31.504,16.038,0.000,16.537,16.853,0.000,0.000,17.755,0.000,0.000,0.000,0.000,0.000,0.000,300,6,50,1,3.000,0.342,0.00,10.05,9669.87, 13.3,749.9,1.000,2.79,7.43,758.1,ON,25.059,41.406,31.795,23.291,1.889,4.697589e+003,,MASIN,,,,,Normal Scan,
16,28/7/2020,13:54:12,26.1,100.5,34.6,6.87392e-008,1.84721e-005,,348.108,708.533,848.432,1199.040,3038.412,4167.276,5414.319,6512.285,8316.064,9258.878,10714.873,13341.516,14606.040,16800.986,17733.205,18445.844,15907.717,19286.017,15710.583,15404.359,13109.982,10185.227,10130.204,7627.461,6203.292,4822.918,4317.740,3017.658,2357.741,2147.131,1822.360,2096.064,1844.641,1683.302,1895.612,1598.821,1719.118,1455.369,1290.245,1403.251,1253.586,1157.562,1435.296,1178.298,1019.069,1194.037,987.608,1013.428,996.007,1100.177,1395.419,1363.457,1551.085,1658.626,1710.041,2132.020,2157.148,2216.287,2146.301,2073.861,1998.140,1852.593,1738.690,1581.780,1594.557,1231.781,937.067,973.643,1062.257,787.066,836.128,897.116,750.074,730.296,635.833,507.374,450.721,370.108,215.566,208.405,221.026,148.700,138.228,88.789,51.219,142.902,26.235,39.944,54.063,27.306,0.000,42.258,42.939,14.547,0.000,29.911,15.212,15.478,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.759,0.000,0.000,0.000,0.000,0.000,0.000,300,6,50,1,3.000,0.342,0.00,10.04,9668.25, 13.3,749.9,1.000,2.79,7.43,758.0,ON,25.380,39.401,30.963,25.029,1.819,5.136026e+003,,MASIN,,,,,Normal Scan,
17,28/7/2020,14:00:12,26.2,100.5,34.4,6.87683e-008,1.84769e-005,,217.578,583.517,359.624,1266.658,2626.841,2659.462,3605.137,4472.627,6787.926,7759.047,9683.241,10426.486,12797.327,12597.384,14317.848,14204.345,14532.146,13497.366,13459.693,11968.124,11084.118,10587.426,7917.631,6733.194,5077.114,4250.247,3711.977,2987.263,2159.381,2145.184,1715.472,1994.211,1513.439,1493.467,1268.862,1583.942,1776.274,1403.637,1527.648,1294.624,1314.365,1051.486,1131.924,1269.945,1080.380,953.094,922.770,1204.646,967.605,1282.482,1177.556,1333.526,1268.105,1337.474,1863.883,1941.978,1781.198,2009.658,1966.405,2046.936,1826.752,1638.244,1857.532,1281.271,1424.890,1335.707,1551.614,1067.047,870.907,893.679,1008.018,943.159,854.653,524.190,564.516,505.072,508.797,406.477,226.277,234.123,196.478,136.316,163.369,139.536,128.055,103.934,104.947,66.572,40.550,54.616,13.868,28.173,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.711,0.000,17.525,17.760,0.000,0.000,0.000,0.000,0.000,0.000,300,6,50,1,3.000,0.342,0.00,10.04,9670.05, 13.3,749.9,1.000,2.79,7.43,758.1,ON,25.970,42.022,32.403,24.144,1.874,4.355019e+003,,MASIN,,,,,Normal Scan,
18,28/7/2020,14:06:12,26.1,100.5,34.0,6.87392e-008,1.84721e-005,,217.567,953.922,1003.390,1727.194,2686.020,3481.352,4769.326,6015.408,7939.367,9061.385,11513.047,12634.552,14992.229,15158.709,15996.312,16775.851,17030.888,17190.783,17801.529,16687.563,16092.824,14399.339,13658.446,9491.920,8500.935,6802.746,5807.701,4651.264,3608.382,3061.910,2911.686,2085.525,2265.921,1904.284,1966.827,1739.999,1644.076,1797.954,1591.479,1793.021,1456.263,1822.888,1367.623,1440.093,1508.643,1182.934,1490.285,1212.043,1241.936,1262.357,1350.215,1250.089,1586.334,1823.098,1713.256,1827.585,2199.133,2083.307,2154.030,1925.242,1817.254,2182.195,1845.197,1925.970,1994.574,1560.084,1542.143,1689.966,1477.049,1223.320,1357.322,926.672,1105.138,850.338,816.275,769.475,711.427,536.661,531.478,434.786,261.185,446.113,276.453,177.580,204.874,194.868,118.059,106.510,81.095,40.960,97.063,126.773,57.252,14.547,73.537,59.823,91.274,92.870,31.508,64.160,0.000,33.078,0.000,17.183,17.524,0.000,0.000,0.000,18.767,19.176,0.000,0.000,300,6,50,1,3.000,0.342,0.00,10.04,9668.25, 13.3,749.9,1.000,2.79,7.43,758.0,ON,26.578,42.763,32.617,25.946,1.879,5.614524e+003,,MASIN,,,,,Normal Scan,
19,28/7/2020,14:12:12,26.1,100.6,33.8,6.86708e-008,1.84721e-005,,348.067,666.773,958.855,1496.708,3058.411,3469.920,4158.249,5167.536,6522.345,7023.170,8691.203,9875.829,11756.173,12922.697,14572.585,13616.376,15541.691,16091.046,14788.358,16185.667,14920.983,13344.938,11351.450,11226.937,9596.768,7618.133,5884.538,4889.839,3866.563,3112.617,2693.403,2505.826,1887.286,2084.313,1942.597,1948.304,1564.782,1591.767,1804.713,1537.038,1627.911,1834.958,1647.253,1374.957,1276.920,1146.648,1412.071,1522.126,1524.630,1276.552,1503.386,1536.436,1584.029,1283.759,1607.424,1771.270,1649.305,1670.991,1948.490,1846.012,1840.577,1478.807,1500.604,1420.191,1427.206,1341.628,1239.414,1117.171,1092.775,1156.646,864.524,945.526,793.121,896.821,842.098,755.045,537.010,464.728,324.729,314.691,319.220,198.248,175.902,266.340,128.031,90.929,91.816,66.560,0.000,69.423,40.410,14.084,14.311,14.546,88.234,29.907,30.421,30.953,31.504,0.000,32.466,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.173,0.000,0.000,300,6,50,1,3.000,0.342,0.00,10.05,9669.87, 13.3,749.9,1.000,2.79,7.43,758.1,ON,27.138,41.734,32.672,26.896,1.831,5.084928e+003,,MASIN,,,,,Normal Scan,
